sfType,sysType,ptMin,ptMax,etaMin,etaMax,sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,200.0,300.0,0.0,0.9,,,,,,,0.9894217189942109
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,200.0,300.0,0.0,0.9,,,,,,,0.9781989699845736
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,200.0,300.0,0.9,1.2,,,,,,,0.9533530009977423
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,200.0,300.0,0.9,1.2,,,,,,,0.9627074933578846
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,200.0,300.0,0.9,1.2,,,,,,,0.9439985086375998
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,200.0,300.0,1.2,2.1,,,,,,,0.9966799489269518
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,200.0,300.0,1.2,2.1,,,,,,,1.004599265945892
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,200.0,300.0,1.2,2.1,,,,,,,0.9887606319080114
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,200.0,300.0,2.1,2.4,,,,,,,0.9518875383873104
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,200.0,300.0,2.1,2.4,,,,,,,0.9855659477469272
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,200.0,300.0,2.1,2.4,,,,,,,0.9182091290276937
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,300.0,99999.0,0.0,0.9,,,,,,,0.9623761863150002
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,300.0,99999.0,0.0,0.9,,,,,,,0.974088707120809
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,300.0,99999.0,0.0,0.9,,,,,,,0.9506636655091916
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,300.0,99999.0,0.9,1.2,,,,,,,0.9382906373235935
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,300.0,99999.0,0.9,1.2,,,,,,,0.9649900092850576
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,300.0,99999.0,0.9,1.2,,,,,,,0.9115912653621295
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,300.0,99999.0,1.2,2.1,,,,,,,0.9917541236170885
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,300.0,99999.0,1.2,2.1,,,,,,,1.0086856960962012
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,300.0,99999.0,1.2,2.1,,,,,,,0.9748225511379762
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,300.0,99999.0,2.1,2.4,,,,,,,0.9360023977784335
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,300.0,99999.0,2.1,2.4,,,,,,,1.0182226660266813
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,300.0,99999.0,2.1,2.4,,,,,,,0.8537821295301857
