process,jetsMin,jetsMax,htMin,htMax,factor
ttlf,5.5,6.5,500.0,600.0,1.0119781494140625
ttlf,6.5,7.5,500.0,600.0,1.0091655254364014
ttlf,7.5,100.0,500.0,600.0,1.0034712553024292
ttlf,0.0,4.5,600.0,700.0,0.9566386342048645
ttlf,4.5,5.5,600.0,700.0,0.9772716164588928
ttlf,5.5,6.5,600.0,700.0,0.988095223903656
ttlf,6.5,7.5,600.0,700.0,0.9948832392692566
ttlf,7.5,100.0,600.0,700.0,0.9813140630722046
ttlf,0.0,4.5,700.0,800.0,0.929096519947052
ttlf,4.5,5.5,700.0,800.0,0.9459723234176636
ttlf,5.5,6.5,700.0,800.0,0.9550854563713074
ttlf,6.5,7.5,700.0,800.0,0.9650804996490479
ttlf,7.5,100.0,700.0,800.0,0.9599989056587219
ttlf,0.0,4.5,800.0,900.0,0.8991526365280151
ttlf,4.5,5.5,800.0,900.0,0.9104188680648804
ttlf,5.5,6.5,800.0,900.0,0.9295778870582581
ttlf,6.5,7.5,800.0,900.0,0.9393188953399658
ttlf,7.5,100.0,800.0,900.0,0.9418967962265015
ttlf,0.0,4.5,900.0,1000.0,0.87116938829422
ttlf,4.5,5.5,900.0,1000.0,0.877816379070282
ttlf,5.5,6.5,900.0,1000.0,0.8997262120246887
ttlf,6.5,7.5,900.0,1000.0,0.9091967940330505
ttlf,7.5,100.0,900.0,1000.0,0.9225720167160034
ttlf,0.0,4.5,1000.0,10000.0,0.8112902641296387
ttlf,4.5,5.5,1000.0,10000.0,0.8129929304122925
ttlf,5.5,6.5,1000.0,10000.0,0.8204205632209778
ttlf,6.5,7.5,1000.0,10000.0,0.8254415988922119
ttlf,7.5,100.0,1000.0,10000.0,0.8345224857330322
ttZ,0.0,4.5,0.0,50.0,0.0
ttZ,4.5,5.5,0.0,50.0,0.0
ttZ,5.5,6.5,0.0,50.0,0.0
ttZ,6.5,7.5,0.0,50.0,0.0
ttZ,7.5,100.0,0.0,50.0,0.0
ttZ,0.0,4.5,50.0,100.0,0.0
ttZ,4.5,5.5,50.0,100.0,0.0
ttZ,5.5,6.5,50.0,100.0,0.0
ttZ,6.5,7.5,50.0,100.0,0.0
ttZ,7.5,100.0,50.0,100.0,0.0
ttZ,0.0,4.5,100.0,150.0,0.9787799715995789
ttZ,4.5,5.5,100.0,150.0,0.0
ttZ,5.5,6.5,100.0,150.0,0.0
ttZ,6.5,7.5,100.0,150.0,0.0
ttZ,7.5,100.0,100.0,150.0,0.0
ttZ,0.0,4.5,150.0,200.0,0.9811713695526123
ttZ,4.5,5.5,150.0,200.0,0.942509114742279
ttZ,5.5,6.5,150.0,200.0,1.3254064321517944
ttZ,6.5,7.5,150.0,200.0,0.0
ttZ,7.5,100.0,150.0,200.0,0.0
ttZ,0.0,4.5,200.0,300.0,0.991921067237854
ttZ,4.5,5.5,200.0,300.0,0.9921696186065674
ttZ,5.5,6.5,200.0,300.0,1.0037622451782227
ttZ,6.5,7.5,200.0,300.0,0.9345999956130981
ttZ,7.5,100.0,200.0,300.0,1.0508065223693848
ttZ,0.0,4.5,300.0,400.0,0.9899091720581055
ttZ,4.5,5.5,300.0,400.0,0.9936704635620117
ttZ,5.5,6.5,300.0,400.0,1.002143144607544
ttZ,6.5,7.5,300.0,400.0,1.0027291774749756
ttZ,7.5,100.0,300.0,400.0,0.9428949356079102
ttZ,0.0,4.5,400.0,500.0,0.9804924130439758
ttZ,4.5,5.5,400.0,500.0,0.9892692565917969
ttZ,5.5,6.5,400.0,500.0,0.9922111630439758
ttZ,6.5,7.5,400.0,500.0,0.9768445491790771
ttZ,7.5,100.0,400.0,500.0,0.9802827835083008
ttZ,0.0,4.5,500.0,600.0,0.957486629486084
ttZ,4.5,5.5,500.0,600.0,0.9717327952384949
ttZ,5.5,6.5,500.0,600.0,0.9877619743347168
ttZ,6.5,7.5,500.0,600.0,0.999651312828064
ttZ,7.5,100.0,500.0,600.0,0.9881083369255066
ttZ,0.0,4.5,600.0,700.0,0.9400761723518372
ttZ,4.5,5.5,600.0,700.0,0.9532843232154846
ttZ,5.5,6.5,600.0,700.0,0.9700499176979065
ttZ,6.5,7.5,600.0,700.0,0.9636571407318115
ttZ,7.5,100.0,600.0,700.0,0.9651497006416321
ttZ,0.0,4.5,700.0,800.0,0.9066779017448425
ttZ,4.5,5.5,700.0,800.0,0.9238891005516052
ttZ,5.5,6.5,700.0,800.0,0.9484542012214661
ttZ,6.5,7.5,700.0,800.0,0.9481649994850159
ttZ,7.5,100.0,700.0,800.0,0.9622558951377869
ttZ,0.0,4.5,800.0,900.0,0.8875938057899475
ttZ,4.5,5.5,800.0,900.0,0.9099275469779968
ttZ,5.5,6.5,800.0,900.0,0.9330106377601624
ttZ,6.5,7.5,800.0,900.0,0.926106870174408
ttZ,7.5,100.0,800.0,900.0,0.9139135479927063
ttZ,0.0,4.5,900.0,1000.0,0.8653461337089539
ttZ,4.5,5.5,900.0,1000.0,0.8864611983299255
ttZ,5.5,6.5,900.0,1000.0,0.9156057834625244
ttZ,6.5,7.5,900.0,1000.0,0.9314789772033691
ttZ,7.5,100.0,900.0,1000.0,0.9338060021400452
ttZ,0.0,4.5,1000.0,10000.0,0.830782413482666
ttZ,4.5,5.5,1000.0,10000.0,0.8403773307800293
ttZ,5.5,6.5,1000.0,10000.0,0.8556157350540161
ttZ,6.5,7.5,1000.0,10000.0,0.8467578291893005
ttZ,7.5,100.0,1000.0,10000.0,0.8745570182800293
